id,date,title,lane,niche,budget_min,budget_max,offers,views,days,cat_id,competition,source_kw,note
3197238,14 июня,AI бот для MAX и TG + интеграция платёжной системы,V,ai-bot,50000,150000,92,890,10,41,red,телеграм бот,крупный AI-бот высокий спрос
3197479,15 июня,ИИ бот для наблюдения за видеокамерами,V,ai-bot,100000,200000,55,674,10,41,high,телеграм бот,CV/AI крупный бюджет
3198567,16 июня,Исправить ошибки в работе бота,V,tg-bot,6500,19500,47,605,10,41,high,телеграм бот,фикс-задача
3198141,15 июня,Настройка Битрикс24 Облако для стоматологии,V,crm-bitrix,40000,120000,17,638,10,38,mid,учет,CRM-настройка
3198694,16 июня,Автоматизация отчётов и анализа рекламных кабинетов VK,V,mkt-analytics,30000,90000,19,284,10,41,mid,финансовый анализ,автоматизация отчётности
3198370,16 июня,Анализ записей телефонных разговоров с ИИ,V,ai-bot,5000,15000,21,454,10,41,high,финансовый анализ,AI-обработка речи
3192226,6 июня,Поиск заказов (для агентства),N,leadgen,30000,90000,0,1136,10,84,low,c=83,не наша
3198732,16 июня,Поиск каналов продаж для агентства недвижимости,V,kp-b2b,25000,75000,1,128,10,84,low,c=83,GTM-консалтинг мало откликов
3186308,29 мая,Требуется вёрстка нескольких страниц (Figma→HTML),V,web,20000,60000,3,1040,10,79,low,c=11,вёрстка мало откликов
3198797,16 июня,Редактирование сценария oktell,V,python,3000,9000,0,91,10,255,low,c=11,телефония-скрипт ноль откликов
3198790,16 июня,Создать одностраничный сайт,V,web,15000,45000,25,193,10,37,high,feed,лендинг конкурентно
3198782,16 июня,Поддержка и развитие портала Битрикс24,V,crm-bitrix,25000,75000,5,181,10,38,low,feed,поддержка CRM мало откликов
3197747,15 июня,Анализ Google Ads (хостелы/отели),V,mkt-analytics,10000,30000,20,282,30,49,mid,финансовый анализ,маркетинг-аналитика
3195547,11 июня,Анализ конкурентов,V,mkt-analytics,3500,3500,22,328,10,56,high,финансовый анализ,конкурентный анализ
