№,приоритет,решение,аккаунт,канал,направление,запрос клиента,бюджет,отклики,конкуренция,часы,грязная ставка руб/час,почему нам подходит,что сделать,что написать клиенту,что показать или собрать,риск,источник,ссылка,долг
13,100,брать,Влад,аккаунт Влада,Маркетинговая аналитика,Автоматизация отчётов и анализа рекламных кабинетов VK,30 000-90 000 руб.,19,средняя,6,10 000,"Брать, если нужна таблица решений: unit-экономика, воронка, конкуренты, сегменты, выводы. Сырье: автоматизация отчётности","Уточнить метрики, период, источники данных и решение, которое надо принять после анализа.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Автоматизация отчётов и анализа рекламных кабинетов VK"" я бы начал с короткого разбора: Уточнить метрики, период, источники данных и решение, которое надо принять после анализа. На выходе дам проверяемый результат: Таблица unit-экономики, выводы, что менять первым, что проверить. Для точной оценки пришлите: данные продаж, расходы, каналы, период, цель анализа.","Таблица unit-экономики, выводы, что менять первым, что проверить.",низкий,живой слой,https://kwork.ru/projects/3198694,
68,98,брать,Влад,аккаунт Влада,"бизнес-клиенты, КП, лиды",Сбор базы для B2B-рассылки,30 000 руб.,1,низкая,8,3 750,"Влад силен не в копирайтинге ради текста, а в логике сделки: кому продаем, почему поверят, какой следующий шаг. Сырье: Прямо совпадает с B2B, базами, критериями, Telegram/email источниками | Прямо совпадает с B2B, базами, критериями, Telegram/email источниками | buyer_orders=23; hire_percent=67; risk=Нужна проверка источников и легальность контактов; action=Собери базу: ICP, поля, источники, правила валидации, 20 тестовых строк, отчет о сомнительных источниках","Собрать ICP, тестовую базу 20 строк, источник, статус проверки и текст первого касания.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Сбор базы для B2B-рассылки"" я бы начал с короткого разбора: Собрать ICP, тестовую базу 20 строк, источник, статус проверки и текст первого касания. На выходе дам проверяемый результат: Демо база 20 строк, структура КП, пример первого сообщения. Для точной оценки пришлите: кому продаем, география, запреты, признаки клиента, нужные контакты.","Демо база 20 строк, структура КП, пример первого сообщения.",средний,старый реестр,https://kwork.ru/projects/3198690,ПРОВЕРИТЬ свежесть и источник
14,98,брать,Влад,аккаунт Влада,Маркетинговая аналитика,Анализ Google Ads (хостелы/отели),10 000-30 000 руб.,20,средняя,6,3 333,"Брать, если нужна таблица решений: unit-экономика, воронка, конкуренты, сегменты, выводы. Сырье: маркетинг-аналитика","Уточнить метрики, период, источники данных и решение, которое надо принять после анализа.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Анализ Google Ads (хостелы/отели)"" я бы начал с короткого разбора: Уточнить метрики, период, источники данных и решение, которое надо принять после анализа. На выходе дам проверяемый результат: Таблица unit-экономики, выводы, что менять первым, что проверить. Для точной оценки пришлите: данные продаж, расходы, каналы, период, цель анализа.","Таблица unit-экономики, выводы, что менять первым, что проверить.",низкий,живой слой,https://kwork.ru/projects/3197747,
65,96,только платный разбор,Влад,аккаунт Влада,"ИИ, боты, CRM",AI-агент для обработки входящих заявок,200 000 руб.,1,низкая,35,5 714,"Брать только как управляемый процесс: аудит, схема, один сценарий, тесты, затем оценка. Сырье: Стратегически профиль Vlad: заявки, Telegram, WhatsApp, CRM, AI | Стратегически профиль Vlad: заявки, Telegram, WhatsApp, CRM, AI | buyer_orders=1; hire_percent=0; risk=Высокий чек, новый покупатель, нужен контракт и фазы; action=Ответить только на paid discovery: схема потоков, роли, риски, прототип одного канала","Предлагать только первый этап: платный разбор, схема, вопросы, оценка. Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""AI-агент для обработки входящих заявок"" я бы начал с короткого разбора: Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария. На выходе дам проверяемый результат: Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт. Для точной оценки пришлите: каналы заявок, CRM, 5-10 примеров, желаемый статус, ограничения доступов.","Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт.",высокий,старый реестр,https://kwork.ru/projects/3198001,ПРОВЕРИТЬ свежесть и источник
69,96,только платный разбор,Влад,аккаунт Влада,"бизнес-клиенты, КП, лиды",B2B бренд-стратегия и GTM для технологического продукта,200 000 руб.,1,низкая,30,6 667,"Влад силен не в копирайтинге ради текста, а в логике сделки: кому продаем, почему поверят, какой следующий шаг. Сырье: Сильная зона Vlad: B2B, технологические продукты, GTM, упаковка | Сильная зона Vlad: B2B, технологические продукты, GTM, упаковка | buyer_orders=15; hire_percent=13; risk=Покупатель ждет агентство и кейсы; action=Предложить paid discovery: интервью, гипотезы ICP, карта оффера, план GTM","Предлагать только первый этап: платный разбор, схема, вопросы, оценка. Собрать ICP, тестовую базу 20 строк, источник, статус проверки и текст первого касания.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""B2B бренд-стратегия и GTM для технологического продукта"" я бы начал с короткого разбора: Собрать ICP, тестовую базу 20 строк, источник, статус проверки и текст первого касания. На выходе дам проверяемый результат: Демо база 20 строк, структура КП, пример первого сообщения. Для точной оценки пришлите: кому продаем, география, запреты, признаки клиента, нужные контакты.","Демо база 20 строк, структура КП, пример первого сообщения.",низкий,старый реестр,https://kwork.ru/projects/3198531,ПРОВЕРИТЬ свежесть и источник
21,96,только платный разбор,Влад,аккаунт Влада,"ИИ, боты, CRM",Настройка Битрикс24 Облако для стоматологии,40 000-120 000 руб.,17,средняя,24,3 333,"Брать только как управляемый процесс: аудит, схема, один сценарий, тесты, затем оценка. Сырье: CRM-настройка","Предлагать только первый этап: платный разбор, схема, вопросы, оценка. Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Настройка Битрикс24 Облако для стоматологии"" я бы начал с короткого разбора: Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария. На выходе дам проверяемый результат: Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт. Для точной оценки пришлите: каналы заявок, CRM, 5-10 примеров, желаемый статус, ограничения доступов.","Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт.",средний,живой слой,https://kwork.ru/projects/3198141,
53,90,брать,Настя,аккаунт Насти,"Документы, договоры, заявки",Поиск тендеров и подготовка заявки,3 000 руб.,0,низкая,3,1 000,"Сильная зона Насти: договоры поставки, ИТ-договоры, протоколы разногласий, трехсторонние договоры, УФАС, МСП, АНО. Сырье: Скрин подтверждает спрос на заявки и ЭЦП-границы","Разобрать документы в таблицу: пункт, риск, что просим заменить, почему, что спросить до подписи.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Поиск тендеров и подготовка заявки"" я бы начал с короткого разбора: Разобрать документы в таблицу: пункт, риск, что просим заменить, почему, что спросить до подписи. На выходе дам проверяемый результат: Протокол разногласий и таблица рисков по обезличенному договору. Для точной оценки пришлите: договор, приложения, счет, акт, цель правки, красные пункты.",Протокол разногласий и таблица рисков по обезличенному договору.,высокий,старый реестр,spouse_kwork/assets/kwork_request_screenshots/01_tender_search_application.png,ПРОВЕРИТЬ свежесть и источник
48,90,брать,Настя,аккаунт Насти,"Документы, договоры, заявки",Заявка на сертификаты соответствия для мебели,9 000 руб.,1,низкая,6,1 500,"Сильная зона Насти: договоры поставки, ИТ-договоры, протоколы разногласий, трехсторонние договоры, УФАС, МСП, АНО. Сырье: Сертификация, документы, перечни, группы товаров | Сертификация, документы, перечни, группы товаров | buyer_orders=85; hire_percent=80; risk=Не обещать выдачу сертификата; action=Разобрать комплект, таблицу позиций, вопросы к органу сертификации, чек-лист недостающего","Разобрать документы в таблицу: пункт, риск, что просим заменить, почему, что спросить до подписи.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Заявка на сертификаты соответствия для мебели"" я бы начал с короткого разбора: Разобрать документы в таблицу: пункт, риск, что просим заменить, почему, что спросить до подписи. На выходе дам проверяемый результат: Протокол разногласий и таблица рисков по обезличенному договору. Для точной оценки пришлите: договор, приложения, счет, акт, цель правки, красные пункты.",Протокол разногласий и таблица рисков по обезличенному договору.,низкий,старый реестр,https://kwork.ru/projects/3195315,ПРОВЕРИТЬ свежесть и источник
50,90,брать,Настя,аккаунт Насти,"Документы, договоры, заявки",Поиск тендеров и подготовка заявки,9 000 руб.,1,низкая,5,1 800,"Сильная зона Насти: договоры поставки, ИТ-договоры, протоколы разногласий, трехсторонние договоры, УФАС, МСП, АНО. Сырье: Совпадает со скрином: тендеры, ЭЦП не дается, удаленный доступ | Совпадает со скрином: тендеры, ЭЦП не дается, удаленный доступ | buyer_orders=4; hire_percent=100; risk=Риск ЭЦП и чужих кабинетов; action=Зафиксировать: без ЭЦП, только поиск, чек-лист, документы, текст заявки","Разобрать документы в таблицу: пункт, риск, что просим заменить, почему, что спросить до подписи.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Поиск тендеров и подготовка заявки"" я бы начал с короткого разбора: Разобрать документы в таблицу: пункт, риск, что просим заменить, почему, что спросить до подписи. На выходе дам проверяемый результат: Протокол разногласий и таблица рисков по обезличенному договору. Для точной оценки пришлите: договор, приложения, счет, акт, цель правки, красные пункты.",Протокол разногласий и таблица рисков по обезличенному договору.,средний,старый реестр,https://kwork.ru/projects/3198106,ПРОВЕРИТЬ свежесть и источник
66,90,брать,Влад,аккаунт Влада,"ИИ, боты, CRM",Заявки с сайта и квиза в amoCRM,15 000 руб.,1,низкая,8,1 875,"Брать только как управляемый процесс: аудит, схема, один сценарий, тесты, затем оценка. Сырье: WordPress формы, квиз, amoCRM, лид-логика | WordPress формы, квиз, amoCRM, лид-логика | buyer_orders=7; hire_percent=60; risk=Может быть скрытая серверная часть; action=Сделать аудит форм, карту полей amoCRM, тестовую заявку, чек-лист исправлений","Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Заявки с сайта и квиза в amoCRM"" я бы начал с короткого разбора: Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария. На выходе дам проверяемый результат: Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт. Для точной оценки пришлите: каналы заявок, CRM, 5-10 примеров, желаемый статус, ограничения доступов.","Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт.",низкий,старый реестр,https://kwork.ru/projects/3197649,ПРОВЕРИТЬ свежесть и источник
67,90,брать,Влад,аккаунт Влада,"ИИ, боты, CRM",Доработка карточки клиента в amoCRM,7 500 руб.,1,низкая,4,1 875,"Брать только как управляемый процесс: аудит, схема, один сценарий, тесты, затем оценка. Сырье: Малый CRM-функционал, быстрый результат | Малый CRM-функционал, быстрый результат | buyer_orders=4; hire_percent=100; risk=Нужен доступ и понимание телефонии; action=Проверить текущую карточку, описать меню Telegram/WhatsApp/Max и отдать схему внедрения","Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Доработка карточки клиента в amoCRM"" я бы начал с короткого разбора: Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария. На выходе дам проверяемый результат: Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт. Для точной оценки пришлите: каналы заявок, CRM, 5-10 примеров, желаемый статус, ограничения доступов.","Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт.",низкий,старый реестр,https://kwork.ru/projects/3198598,ПРОВЕРИТЬ свежесть и источник
76,90,брать,Настя,аккаунт Насти,"сайт, WordPress, SEO",Размещение и оформление SEO-статьи на WordPress,6 000 руб.,1,низкая,3,2 000,"Не конкурировать с разработчиками по всему сайту. Брать размещение, структуру, карточки, SEO-поля и мелкие правки. Сырье: Прямое совпадение с контентным кворком | Прямое совпадение с контентным кворком | buyer_orders=383; hire_percent=33; risk=Нужен доступ к WP и пример оформления; action=Попросить доступ, статью, шаблон, SEO-title/description, картинку","Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Размещение и оформление SEO-статьи на WordPress"" я бы начал с короткого разбора: Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description. На выходе дам проверяемый результат: Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации. Для точной оценки пришлите: доступ, пример страницы, текст, картинки, SEO-поля, запреты.","Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации.",низкий,старый реестр,https://kwork.ru/projects/3198573,ПРОВЕРИТЬ свежесть и источник
51,90,брать,Настя,аккаунт Насти,"Документы, договоры, заявки",Помощь в оформлении заявки на сертификат соответствия,3 000 руб.,2,низкая,3,1 000,"Сильная зона Насти: договоры поставки, ИТ-договоры, протоколы разногласий, трехсторонние договоры, УФАС, МСП, АНО. Сырье: Документы, спецификация, перечень изделий","Разобрать документы в таблицу: пункт, риск, что просим заменить, почему, что спросить до подписи.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Помощь в оформлении заявки на сертификат соответствия"" я бы начал с короткого разбора: Разобрать документы в таблицу: пункт, риск, что просим заменить, почему, что спросить до подписи. На выходе дам проверяемый результат: Протокол разногласий и таблица рисков по обезличенному договору. Для точной оценки пришлите: договор, приложения, счет, акт, цель правки, красные пункты.",Протокол разногласий и таблица рисков по обезличенному договору.,низкий,старый реестр,spouse_kwork/assets/kwork_request_screenshots/04_certificate_application.png,ПРОВЕРИТЬ свежесть и источник
4,90,"брать, если есть формулы, сверка или автоматизация",Настя + Влад,"аккаунт Насти, Влад помогает с техникой",Excel и таблицы,Собрать базу организаций для обзвона,1 500-4 500 руб.,10,средняя,4,750,"Брать не ручной ввод, а таблицы со смыслом: формулы, сводные, склейка файлов, контроль статусов, CRM, 1С, макросы или веб-хук. Сырье: парсинг+таблица | Простой тест на сбор базы и фильтры | buyer_orders=45; hire_percent=57; risk=Низкий чек, нужен быстрый шаблон; action=Собери 50 организаций с источником, сайтом, контактом, причиной попадания и статусом","Попросить файл до, пример результата и правило расчета. Начинать с одного листа или 20 строк.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Собрать базу организаций для обзвона"" я бы начал с короткого разбора: Попросить файл до, пример результата и правило расчета. Начинать с одного листа или 20 строк. На выходе дам проверяемый результат: Демо таблица: исходник, формулы, сводная, проверка ошибок, лист с инструкцией. Для точной оценки пришлите: исходные файлы, пример результата, правила расчета, частота обновления.","Демо таблица: исходник, формулы, сводная, проверка ошибок, лист с инструкцией.",низкий,живой слой + старый реестр,https://kwork.ru/projects/3198558,
1,90,брать,Настя + Влад,"аккаунт Насти, Влад помогает с техникой","1С, учет, ОСВ, акты",Руководство как в 1С УНФ сделать контракты,2 000 руб.,11,средняя,5,400,"Есть сильный бытовой и рабочий контекст: 1С, ОСВ, акты сверки, дебиторка, кредиторка, УПД, счета, налоги. Сырье: высокий просмотр документная задача | Настин 1С/договорный контекст | buyer_orders=382; hire_percent=90; risk=Нужна точная версия 1С УНФ; action=Попросить версию 1С, скрины, цель инструкции, сделать пошаговый документ","Попросить выгрузку, период, счет, контрагента, версию 1С и проблему словами. Делать таблицу расхождений, не гадать по скриншоту.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Руководство как в 1С УНФ сделать контракты"" я бы начал с короткого разбора: Попросить выгрузку, период, счет, контрагента, версию 1С и проблему словами. Делать таблицу расхождений, не гадать по скриншоту. На выходе дам проверяемый результат: Обезличенная ОСВ 62, акт сверки, таблица кто кому сколько и по каким документам. Для точной оценки пришлите: выгрузка, период, счет, контрагент, версия 1С, что именно не сходится.","Обезличенная ОСВ 62, акт сверки, таблица кто кому сколько и по каким документам.",средний,живой слой + старый реестр,https://kwork.ru/projects/3198119,
36,90,брать,Влад,аккаунт Влада,"Python, парсинг, данные",Написать ядро сборщика из карточек товара (парсер),10 000 руб.,11,средняя,8,1 250,"Хорошая зона Влада, если есть четкий источник, формат результата и допустимость сбора. Сырье: парсинг МП - зона Влада","Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Написать ядро сборщика из карточек товара (парсер)"" я бы начал с короткого разбора: Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование. На выходе дам проверяемый результат: Мини-парсер, CSV до/после, лог ошибок, README как запускать. Для точной оценки пришлите: источник, пример страницы, поля, частота, формат выгрузки, ограничения.","Мини-парсер, CSV до/после, лог ошибок, README как запускать.",низкий,живой слой,https://kwork.ru/projects/3198710,
33,90,"брать, если есть формулы, сверка или автоматизация",Настя + Влад,"аккаунт Насти, Влад помогает с техникой",Excel и таблицы,Сделать отчёт по посещаемости,1 000-3 000 руб.,13,средняя,4,500,"Брать не ручной ввод, а таблицы со смыслом: формулы, сводные, склейка файлов, контроль статусов, CRM, 1С, макросы или веб-хук. Сырье: таблица-отчёт","Попросить файл до, пример результата и правило расчета. Начинать с одного листа или 20 строк.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Сделать отчёт по посещаемости"" я бы начал с короткого разбора: Попросить файл до, пример результата и правило расчета. Начинать с одного листа или 20 строк. На выходе дам проверяемый результат: Демо таблица: исходник, формулы, сводная, проверка ошибок, лист с инструкцией. Для точной оценки пришлите: исходные файлы, пример результата, правила расчета, частота обновления.","Демо таблица: исходник, формулы, сводная, проверка ошибок, лист с инструкцией.",низкий,живой слой,https://kwork.ru/projects/3198339,
