platform,profile_url,niche,seller_level,reviews_count,avg_rating,base_price,delivery_days,packages,options,portfolio_strength(1-5),weak_spots,our_edge,notes,date_checked
Kwork,https://kwork.ru/business-copywriting/48609300/effektivnoe-kommercheskoe-predlozhenie-s-nulya,Commercial proposal,ПРОВЕРИТЬ,213,ПРОВЕРИТЬ,5000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,3,Плотная конкуренция,"Начинать с заявок на бирже и кейсов, потом кворк",seller=Evgeny_Kud; title=Эффективное коммерческое предложение. С нуля; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape,2026-05-27
Kwork,https://kwork.ru/server-administration/49760/perenesu-vash-sayt-wordpress-na-noviy-khosting,WordPress,ПРОВЕРИТЬ,3501,ПРОВЕРИТЬ,5000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,5,WordPress как техрынок перегрет,Nastya не лезет в администрирование; берет размещение контента и карточки,seller=kwazar; title=Перенесу ваш сайт WordPress на новый хостинг; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape,2026-05-27
Kwork,https://kwork.ru/creative-writing/21414/vylozhu-30-tovarov-na-vash-sayt,Content upload,ПРОВЕРИТЬ,1802,ПРОВЕРИТЬ,7000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,5,Карточки/загрузка товаров имеют сильных исполнителей,Наша ставка: аккуратность + таблицы + описания + источники фото,seller=Gianluca-Vacchi; title=Выложу 30 товаров на ваш сайт; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape,2026-05-27
Kwork,https://kwork.ru/e-commerce-social-network/19186632/dizayn-kartochek-tovara-na-marketpleyse-wildberries,Marketplace cards,ПРОВЕРИТЬ,1865,ПРОВЕРИТЬ,5000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,5,Дизайн карточек конкурентный,"Не продавать дизайн как главный результат; продавать структуру, текст, ТЗ, данные",seller=ProFox_by; title=Дизайн карточек товара на маркетплейсе Wildberries; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape,2026-05-27
Kwork,https://kwork.ru/creative-writing/22024209/randomizirovannie-prodayushchie-obyavleniya-dlya-avito-magazinov,Avito/content,ПРОВЕРИТЬ,3275,ПРОВЕРИТЬ,5000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,5,Авито-контент массовый и конкурентный,"Брать где есть таблицы, номенклатура, УПД, товарная логика",seller=bigdater; title=Рандомизированные продающие объявления для Авито магазинов; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape,2026-05-27
Kwork,https://kwork.ru/information-bases/29993023/baza-dannykh-8-federalnykh-okrugov-moskva-3965606-kompaniy,Lead databases,ПРОВЕРИТЬ,5448,ПРОВЕРИТЬ,5000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,5,Готовые базы с огромным social proof,"Не продавать базы-миллионники; продавать точечный ICP, ручную валидацию и CRM-готовность",seller=kalyasik87; title=База данных 8 Федеральных Округов + Москва . 3965606 компаний; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape,2026-05-27
Kwork,https://kwork.ru/information-bases/195603/wildberries-05-2026-polnaya-baza-prodavtsov-tovara,Lead databases,ПРОВЕРИТЬ,3162,ПРОВЕРИТЬ,6000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,5,Сильная готовая база,"Наша ниша: не база как товар, а база под конкретную продажу/тендер/КП",seller=LittleSani; title=Wildberries - 05.2026 - Полная база продавцов товара; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape,2026-05-27
Kwork,https://kwork.ru/personal-assistant/22426499/analitika-zakazchikov-i-konkurentov-v-tenderakh-44-fz-223-fz,Tenders,ПРОВЕРИТЬ,36,ПРОВЕРИТЬ,7000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,2,Тендерная аналитика уже есть,"Настя может брать заявки/пакеты, но без обещания победы","seller=Alef_Tender; title=Аналитика заказчиков и конкурентов в тендерах 44-ФЗ, 223-ФЗ; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape",2026-05-27
Kwork,https://kwork.ru/personal-assistant/52153549/dlya-sotrudnikov-ufas-sostavlenie-proektov-protsessualnykh-dokumentov,UFAС/process,ПРОВЕРИТЬ,36,ПРОВЕРИТЬ,7000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,2,"Юридически-смежный спрос есть, но ниша узкая","Настин кворк: протокол разногласий, хронология, пакет документов, не адвокатское обещание",seller=Alef_Tender; title=Для сотрудников УФАС: составление проектов процессуальных документов; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape,2026-05-27
Kwork,https://kwork.ru/personal-assistant/6205010/fin-model-lyubogo-proekta-dlya-bankov-investorov-gos-podderzhki,Finance model,ПРОВЕРИТЬ,920,ПРОВЕРИТЬ,9000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,4,Финансовая модель с большим proof,Не заявлять финмодели как core без доказательств; можно учебные расчеты и юнит-экономику,"seller=Oleg_Anatolevich; title=Фин. модель любого Проекта, для банков, инвесторов, гос. поддержки; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape",2026-05-27
Kwork,https://kwork.ru/presentations-infographics/9522085/sozdanie-prezentatsiy-produkt-otchyoty-vystupleniya,Presentations,ПРОВЕРИТЬ,577,ПРОВЕРИТЬ,30000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,4,Сильный премиум по презентациям,"Vlad может продавать смысл и структуру, не дизайн как агентство","seller=SkobkiLabs; title=Создание презентаций: продукт, отчёты, выступления; orders_count=781; source_type=historic_kwork_scrape",2026-05-27
Kwork,https://kwork.ru/presentations-infographics/36495636/verstka-prezentatsii-individualniy-dizayn-prezentatsii-dlya-investitsiy,Presentations,ПРОВЕРИТЬ,363,ПРОВЕРИТЬ,30000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,4,Дизайн-презентации заняты,"Вход через питч, структуру, текст, финансовую логику","seller=InnoAnimation; title=Верстка презентации, индивидуальный дизайн презентации для инвестиций; orders_count=664; source_type=historic_kwork_scrape",2026-05-27
Kwork,https://kwork.ru/usability-testing/33157396/integratsii-i-nastroyki-amocrm-amo-crm-pod-biznes-protsessy-i-prodazhi,CRM,ПРОВЕРИТЬ,107,ПРОВЕРИТЬ,5000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,3,CRM-конкуренты есть,"Vlad должен заходить через анализ процесса и ТЗ, потом внедрение","seller=werosli-ru; title=Интеграции и настройки amoCRM, amo crm. Под бизнес-процессы и продажи; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape",2026-05-27
Kwork,https://kwork.ru/business-copywriting/48360594/vysshee-yuridicheskoe-obrazovanie-tochnost-i-otvetstvennost,Legal-adjacent,ПРОВЕРИТЬ,0,ПРОВЕРИТЬ,5000,ПРОВЕРИТЬ,ПРОВЕРИТЬ,ПРОВЕРИТЬ,1,"Слабый competitor proof, но сигнал спроса","Настя может выделиться конкретикой: договоры поставки, ИТ-договоры, протоколы разногласий, УФАС","seller=jqrxr9d7w9; title=Высшее юридическое образование, точность и ответственность; orders_count=ПРОВЕРИТЬ; source_type=historic_kwork_scrape",2026-05-27
