rank,source_layer,project_id,url,date_checked,title,account,channel,niche,direction,budget_min,budget_max,budget_mid,offers,views,competition,decision,pay_mode,risk,est_hours,gross_rate_mid,confidence,source_files,next_action,notes
22,LIVE,3198370,https://kwork.ru/projects/3198370,2026-06-16,Анализ записей телефонных разговоров с ИИ,Vlad,active_exchange,ai-bot,"AI, боты, CRM",5000,15000,10000,21,454,high,TAKE WITH SCOPE,SE_Vlad,low,10,1000,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"отклик: карта процесса, один сценарий, риски, тесты",AI-обработка речи
23,LIVE,3197935,https://kwork.ru/projects/3197935,2026-06-15,Корпоративный мессенджер для компании,Vlad,active_exchange,crm-bitrix,"AI, боты, CRM",100000,200000,150000,40,556,high,DISCOVERY ONLY,SE_Vlad,med,24,6250,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,отвечать только на платный аудит и фазирование,крупная разработка
24,LIVE,3198567,https://kwork.ru/projects/3198567,2026-06-16,Исправить ошибки в работе бота,Vlad,active_exchange,tg-bot,"AI, боты, CRM",6500,19500,13000,47,605,high,TAKE WITH SCOPE,SE_Vlad,low,10,1300,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"отклик: карта процесса, один сценарий, риски, тесты",фикс-задача
25,LIVE,3197479,https://kwork.ru/projects/3197479,2026-06-15,ИИ бот для наблюдения за видеокамерами,Vlad,active_exchange,ai-bot,"AI, боты, CRM",100000,200000,150000,55,674,high,DISCOVERY ONLY,SE_Vlad,med,24,6250,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,отвечать только на платный аудит и фазирование,CV/AI крупный бюджет
26,LIVE,3198201,https://kwork.ru/projects/3198201,2026-06-15,Создать телеграмм бот,Vlad,active_exchange,tg-bot,"AI, боты, CRM",500,500,500,87,1053,red,LOW PRIORITY,SE_Vlad,med,10,50,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"отклик: карта процесса, один сценарий, риски, тесты",демпинг 500₽ 87 откликов
27,LIVE,3197238,https://kwork.ru/projects/3197238,2026-06-14,AI бот для MAX и TG + интеграция платёжной системы,Vlad,active_exchange,ai-bot,"AI, боты, CRM",50000,150000,100000,92,890,red,DISCOVERY ONLY,SE_Vlad,med,24,4167,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,отвечать только на платный аудит и фазирование,крупный AI-бот высокий спрос
28,LIVE,3198732,https://kwork.ru/projects/3198732,2026-06-16,Поиск каналов продаж для агентства недвижимости,Vlad,active_exchange,kp-b2b,"B2B, КП, лиды",25000,75000,50000,1,128,low,TAKE FIRST,SE_Vlad,low,8,6250,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"отклик: критерии ICP, тест 20 строк, источник, статус",GTM-консалтинг мало откликов
29,LIVE,3197922,https://kwork.ru/projects/3197922,2026-06-15,Поиск B2B клиентов для маркетингового агентства,Vlad,active_exchange,kp-b2b,"B2B, КП, лиды",200000,200000,200000,2,573,low,TAKE FIRST,SE_Vlad,low,8,25000,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"отклик: критерии ICP, тест 20 строк, источник, статус",B2B продажи мало откликов
30,LIVE,3197613,https://kwork.ru/projects/3197613,2026-06-15,Плачу % за привлечение селлеров WB/Ozon,Nastya,vitrine_first_or_point_exchange,leadgen,"B2B, КП, лиды",200000,200000,200000,5,493,low,TAKE FIRST,IP_Nastya,low,8,25000,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"отклик: критерии ICP, тест 20 строк, источник, статус",партнёрка не наша
31,LIVE,3198707,https://kwork.ru/projects/3198707,2026-06-16,Заключить 99 договоров с кадровыми агентствами,Nastya,vitrine_first_or_point_exchange,leadgen,"B2B, КП, лиды",6000,6000,6000,0,227,low,TAKE FIRST,IP_Nastya,low,3,2000,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"отклик: критерии ICP, тест 20 строк, источник, статус",холодный обзвон не наш
32,LIVE,3192226,https://kwork.ru/projects/3192226,2026-06-06,Поиск заказов (для агентства),Nastya,vitrine_first_or_point_exchange,leadgen,"B2B, КП, лиды",30000,90000,60000,0,1136,low,TAKE FIRST,IP_Nastya,low,8,7500,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"отклик: критерии ICP, тест 20 строк, источник, статус",не наша
33,LIVE,3198339,https://kwork.ru/projects/3198339,2026-06-16,Сделать отчёт по посещаемости,Shared,active_exchange,data-excel,Excel и таблицы,1000,3000,2000,13,301,mid,TAKE,clarify,low,4,500,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,отклик только если объем и приемка ясны,таблица-отчёт
34,LIVE,3198376,https://kwork.ru/projects/3198376,2026-06-16,Перепечатать данные из рукописного журнала в Excel,Shared,active_exchange,excel-entry,Excel и таблицы,1000,3000,2000,121,997,red,BURY: manual Excel red ocean,clarify,med,,,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"не откликаться, использовать как антипример",ручной ввод - не брать
35,LIVE,3198005,https://kwork.ru/projects/3198005,2026-06-15,PDF в Excel,Shared,active_exchange,excel-entry,Excel и таблицы,2500,2500,2500,327,1862,red,BURY: manual Excel red ocean,clarify,med,,,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"не откликаться, использовать как антипример",327 откликов commodity
36,LIVE,3198710,https://kwork.ru/projects/3198710,2026-06-16,Написать ядро сборщика из карточек товара (парсер),Vlad,active_exchange,parsing,"Python, парсинг, данные",10000,10000,10000,11,313,mid,TAKE,SE_Vlad,low,8,1250,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"отклик: MVP одного источника, логи, ограничения",парсинг МП - зона Влада
37,LIVE,3198621,https://kwork.ru/projects/3198621,2026-06-16,Нужна выгрузка компаний по г. Москва,Vlad,active_exchange,parsing,"Python, парсинг, данные",1000,3000,2000,13,184,mid,TAKE,SE_Vlad,low,8,250,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"отклик: MVP одного источника, логи, ограничения",парсинг+выгрузка
38,LIVE,3198019,https://kwork.ru/projects/3198019,2026-06-15,Сбор/парсинг Telegram-каналов: бьюти,Vlad,active_exchange,parsing,"Python, парсинг, данные",500,500,500,18,355,mid,TAKE,SE_Vlad,low,8,63,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"отклик: MVP одного источника, логи, ограничения",дешёвый парсинг
39,LIVE,3196048,https://kwork.ru/projects/3196048,2026-06-12,Разработать аналог сайта + парсинг/наполнение,Vlad,active_exchange,parsing,"Python, парсинг, данные",30000,90000,60000,30,1706,high,TAKE WITH SCOPE,SE_Vlad,low,16,3750,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"отклик: MVP одного источника, логи, ограничения",крупный парсинг+сайт
40,LIVE,3198488,https://kwork.ru/projects/3198488,2026-06-16,Дополнить робота по автоответам на Ozon,Vlad,active_exchange,python,"Python, парсинг, данные",1000,3000,2000,39,619,high,TAKE WITH SCOPE,SE_Vlad,low,8,250,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"отклик: MVP одного источника, логи, ограничения",дешёвый но много откликов
41,LIVE,2545228,https://kwork.ru/projects/2545228,архив,Доработка парсера,Vlad,active_exchange,parsing,"Python, парсинг, данные",30000,90000,60000,48,2031,high,TAKE WITH SCOPE,SE_Vlad,low,16,3750,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"отклик: MVP одного источника, логи, ограничения",старый но активный
42,LIVE,3198797,https://kwork.ru/projects/3198797,2026-06-16,Редактирование сценария oktell,Vlad,active_exchange,python,"Python, парсинг, данные",3000,9000,6000,0,91,low,TAKE FIRST,SE_Vlad,low,8,750,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,"отклик: MVP одного источника, логи, ограничения",телефония-скрипт ноль откликов
43,LIVE,3186308,https://kwork.ru/projects/3186308,29 мая,Требуется вёрстка нескольких страниц (Figma→HTML),Vlad,active_exchange,web,"Web, WordPress, SEO",20000,60000,40000,3,1040,low,TAKE FIRST,SE_Vlad,low,6,6667,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,отклик только если объем и приемка ясны,вёрстка мало откликов
44,LIVE,3198790,https://kwork.ru/projects/3198790,2026-06-16,Создать одностраничный сайт,Vlad,active_exchange,web,"Web, WordPress, SEO",15000,45000,30000,25,193,high,TAKE WITH SCOPE,SE_Vlad,low,6,5000,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,отклик только если объем и приемка ясны,лендинг конкурентно
45,LIVE,3197965,https://kwork.ru/projects/3197965,2026-06-15,Провести SEO-аудит и подготовить план,Skip,active_exchange,seo,"Web, WordPress, SEO",15000,45000,30000,32,354,high,SKIP,clarify,low,6,5000,high-live,market/2026-06-kwork-orders-ledger-LIVE.csv,отклик только если объем и приемка ясны,не наша ниша
46,CODEX,3197398,https://kwork.ru/projects/3197398,2026-06-16,"Маркировка товара Честный знак, косметика",Nastya,exchange_or_screenshot,accounting_tables_1c,"1С, учет, ОСВ, акты",30000,30000,30000,1,,low,PARITY,IP_Nastya,med,10,3000,medium,market/2026-06-kwork-orders-ledger.csv,buyer_orders=1; hire_percent=100; risk=Нужна точная экспертиза по маркировке; action=Брать только консультационный разбор и список действий после уточнения опыта,"Документы, маркировка, 1С, товарные группы | Документы, маркировка, 1С, товарные группы | buyer_orders=1; hire_percent=100; risk=Нужна точная экспертиза по маркировке; action=Брать только консультационный разбор и список действий после уточнения опыта"
47,CODEX,2503131,https://kwork.ru/projects/2503131,2026-06-16,Интеграция сайта на 1С-Битрикс и 1С,Vlad,exchange_or_screenshot,accounting_tables_1c,"1С, учет, ОСВ, акты",10000,10000,10000,3,,low,PARITY,SE_Vlad,med,10,1000,medium,market/2026-06-kwork-orders-ledger.csv,buyer_orders=29; hire_percent=50; risk=Риск старого модуля и чужой 1С; action=Брать только диагностику и ТЗ на восстановление обмена,"Интеграционная логика близка, но 1С-Битрикс глубже | Интеграционная логика близка, но 1С-Битрикс глубже | buyer_orders=29; hire_percent=50; risk=Риск старого модуля и чужой 1С; action=Брать только диагностику и ТЗ на восстановление обмена"
48,CODEX,3195315,https://kwork.ru/projects/3195315,2026-06-16,Заявка на сертификаты соответствия для мебели,Nastya,exchange_or_screenshot,contracts_certification_documents,"Документы, договоры, заявки",9000,9000,9000,1,,low,TAKE,IP_Nastya,low,6,1500,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=85; hire_percent=80; risk=Не обещать выдачу сертификата; action=Разобрать комплект, таблицу позиций, вопросы к органу сертификации, чек-лист недостающего","Сертификация, документы, перечни, группы товаров | Сертификация, документы, перечни, группы товаров | buyer_orders=85; hire_percent=80; risk=Не обещать выдачу сертификата; action=Разобрать комплект, таблицу позиций, вопросы к органу сертификации, чек-лист недостающего"
49,CODEX,3198018,https://kwork.ru/projects/3198018,2026-06-16,Вывод товара в розничные сети и договор поставки,Nastya,exchange_or_screenshot,contracts_certification_documents,"Документы, договоры, заявки",9000,9000,9000,1,,low,TAKE_WITH_BOUNDARY,IP_Nastya,med,7,1286,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=18; hire_percent=67; risk=Не обещать одобрение сети; action=Предложить пакет: КП, список сетей, письмо, карта требований, договорные риски","Поставка, договор, розничные сети, коммерческая логика | Поставка, договор, розничные сети, коммерческая логика | buyer_orders=18; hire_percent=67; risk=Не обещать одобрение сети; action=Предложить пакет: КП, список сетей, письмо, карта требований, договорные риски"
50,CODEX,3198106,https://kwork.ru/projects/3198106,2026-06-16,Поиск тендеров и подготовка заявки,Nastya,exchange_or_screenshot,contracts_certification_documents,"Документы, договоры, заявки",9000,9000,9000,1,,low,TAKE,IP_Nastya,med,5,1800,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=4; hire_percent=100; risk=Риск ЭЦП и чужих кабинетов; action=Зафиксировать: без ЭЦП, только поиск, чек-лист, документы, текст заявки","Совпадает со скрином: тендеры, ЭЦП не дается, удаленный доступ | Совпадает со скрином: тендеры, ЭЦП не дается, удаленный доступ | buyer_orders=4; hire_percent=100; risk=Риск ЭЦП и чужих кабинетов; action=Зафиксировать: без ЭЦП, только поиск, чек-лист, документы, текст заявки"
51,CODEX,codex_row_73,spouse_kwork/assets/kwork_request_screenshots/04_certificate_application.png,2026-06-15,Помощь в оформлении заявки на сертификат соответствия,Nastya,exchange_or_screenshot,contracts_certification_documents,"Документы, договоры, заявки",3000,3000,3000,2,,low,TAKE,IP_Nastya,low,3,1000,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=85; hire_percent=80; risk=Не обещать выдачу сертификата; action=Разобрать файлы, сгруппировать позиции, дать вопросы к органу сертификации","Документы, спецификация, перечень изделий"
52,CODEX,codex_row_79,spouse_kwork/assets/kwork_request_screenshots/15_bank_mfo_legal_dispute.png,2026-06-15,Спор с банком или МФО для ИП/ООО,Nastya,exchange_or_screenshot,contracts_certification_documents,"Документы, договоры, заявки",5000,5000,5000,13,,mid,TAKE_WITH_BOUNDARY,IP_Nastya,med,5,1000,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=1; hire_percent=0; risk=Не обещать судебный результат; action=Собрать хронологию, таблицу начислений, спорные пункты, вопросы юристу","Договор, начисления, позиция, таблица спора"
53,CODEX,codex_row_71,spouse_kwork/assets/kwork_request_screenshots/01_tender_search_application.png,2026-06-15,Поиск тендеров и подготовка заявки,Nastya,exchange_or_screenshot,contracts_certification_documents,"Документы, договоры, заявки",3000,3000,3000,0,,low,TAKE,IP_Nastya,high,3,1000,medium,market/2026-06-kwork-orders-ledger.csv,buyer_orders=4; hire_percent=100; risk=Нельзя работать чужой ЭЦП; action=Отклик из файла spouse_kwork/12_KWORK_REQUEST_EXAMPLES_FROM_SCREENSHOTS_RU.md,Скрин подтверждает спрос на заявки и ЭЦП-границы
54,CODEX,3186458,https://kwork.ru/projects/3186458,2026-06-16,Сайт детского спортивного психолога,Vlad,exchange_or_screenshot,mixed_business_task,Смешанные бизнес-задачи,30000,30000,30000,1,,low,TAKE_AS_POSITIONING,SE_Vlad,low,14,2143,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=39; hire_percent=40; risk=Дизайн/разработка могут съесть бюджет; action=Предложить структуру сайта, оффер, тексты, прототип; разработку отдельно","Нужна суть продукта, структура, тексты, сайт | Нужна суть продукта, структура, тексты, сайт | buyer_orders=39; hire_percent=40; risk=Дизайн/разработка могут съесть бюджет; action=Предложить структуру сайта, оффер, тексты, прототип; разработку отдельно"
55,CODEX,3198125,https://kwork.ru/projects/3198125,2026-06-16,Упаковка Авито аккаунта,Vlad,exchange_or_screenshot,mixed_business_task,Смешанные бизнес-задачи,5000,5000,5000,1,,low,PARITY,SE_Vlad,med,5,1000,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=1; hire_percent=0; risk=Не основной профиль без визуального портфолио; action=Взять только как структура, тексты и ТЗ для дизайна","Фирменный стиль, шаблоны, карточки, тексты | Фирменный стиль, шаблоны, карточки, тексты | buyer_orders=1; hire_percent=0; risk=Не основной профиль без визуального портфолио; action=Взять только как структура, тексты и ТЗ для дизайна"
56,CODEX,3193260,https://kwork.ru/projects/3193260,2026-06-16,Rich-контент и инфографика для Ozon,Nastya,exchange_or_screenshot,mixed_business_task,Смешанные бизнес-задачи,30000,30000,30000,1,,low,PARITY,IP_Nastya,med,15,2000,medium,market/2026-06-kwork-orders-ledger.csv,buyer_orders=2; hire_percent=100; risk=Нужен дизайнерский портфель; action=Брать только текстовую структуру карточки и ТЗ для дизайнера,"Маркетплейсы и смысловая воронка близко, дизайн слабее | Маркетплейсы и смысловая воронка близко, дизайн слабее | buyer_orders=2; hire_percent=100; risk=Нужен дизайнерский портфель; action=Брать только текстовую структуру карточки и ТЗ для дизайнера"
57,CODEX,3198066,https://kwork.ru/projects/3198066,2026-06-16,100 холодных звонков по базе владельцев бизнеса,Vlad,exchange_or_screenshot,mixed_business_task,Смешанные бизнес-задачи,9000,9000,9000,1,,low,LOSE,SE_Vlad,high,12,750,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=8; hire_percent=43; risk=Не тот формат, низкая ставка; action=Можно предложить скрипт звонка, сегментацию, таблицу статусов","Продажи есть, но работа телефонного оператора | Продажи есть, но работа телефонного оператора | buyer_orders=8; hire_percent=43; risk=Не тот формат, низкая ставка; action=Можно предложить скрипт звонка, сегментацию, таблицу статусов"
58,CODEX,3198398,https://kwork.ru/projects/3198398,2026-06-16,Реклама премиум-кухонь в Москве и МО,Vlad,exchange_or_screenshot,mixed_business_task,Смешанные бизнес-задачи,75000,75000,75000,1,,low,LOSE,SE_Vlad,high,25,3000,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=10; hire_percent=100; risk=Нужен директолог с кейсами, это не стартовый профиль; action=Не брать; можно предложить аудит воронки и КП","B2B/GTM частично близко | B2B/GTM частично близко | buyer_orders=10; hire_percent=100; risk=Нужен директолог с кейсами, это не стартовый профиль; action=Не брать; можно предложить аудит воронки и КП"
59,CODEX,3192274,https://kwork.ru/projects/3192274,2026-06-16,Поиск покупателя для готового AI-стартапа,Vlad,exchange_or_screenshot,mixed_business_task,Смешанные бизнес-задачи,90000,90000,90000,1,,low,PARITY,SE_Vlad,med,20,4500,medium,market/2026-06-kwork-orders-ledger.csv,"buyer_orders=39; hire_percent=58; risk=Продажа стартапа без базы инвесторов сложна; action=Предложить список гипотез покупателей, питч, письмо, CRM-таблицу","AI-продукт, buyer list, упаковка сделки | AI-продукт, buyer list, упаковка сделки | buyer_orders=39; hire_percent=58; risk=Продажа стартапа без базы инвесторов сложна; action=Предложить список гипотез покупателей, питч, письмо, CRM-таблицу"
